H	Summary
H	SCFiller:false
H	path	/data/2/rpark/ip2_data//ehall/Kiskinis_Lab_NU/EXP19_CYT_050316_2016_05_03_09_33950/search/projects2016_05_09_15_84074/
H	path	/data/2/rpark/ip2_data//ehall/Kiskinis_Lab_NU/EXP19_NUC_050316_2016_05_03_09_33951/search/projects2016_05_09_16_84075/
SLine	dataset	intersection	intersection	unique	all_union
S	dataset	EXP19_CYT_050316(searched:2016-05-09)	EXP19_NUC_050316(searched:2016-05-09)
S	EXP19_CYT_050316(searched:2016-05-09)	6984	3077	3907	9068	
S	EXP19_NUC_050316(searched:2016-05-09)	3077	5161	2084	9068	


S	CumulativeProteinCounts	6984	9068	

PLine	Accession	peptide_count_EXP19_CYT_050316(searched:2016-05-09)	peptide_count_EXP19_NUC_050316(searched:2016-05-09)	NSAF_EXP19_CYT_050316(searched:2016-05-09)	NSAF_EXP19_NUC_050316(searched:2016-05-09)	EMPAI_EXP19_CYT_050316(searched:2016-05-09)	EMPAI_EXP19_NUC_050316(searched:2016-05-09)	spectral_count_EXP19_CYT_050316(searched:2016-05-09)	spectral_count_EXP19_NUC_050316(searched:2016-05-09)	seqcov_EXP19_CYT_050316(searched:2016-05-09)	seqcov_EXP19_NUC_050316(searched:2016-05-09)	description	occurrence	status
P	Q96PU8-3	0	5	0	2.3745802E-4	0	0.25602996	0	6	0	9.9%	Isoform 2 of Protein quaking OS=Homo sapiens GN=QKI 	1	0_1_	0_1_
P	Q96K17	6	2	5.875306E-4	1.6682177E-4	1.3280914	1.3280914	11	2	36.7%	36.7%	Transcription factor BTF3 homolog 4 OS=Homo sapiens GN=BTF3L4 PE=1 SV=1 	2	1_1_	1_1_
P	tr|H3BPT8|H3BPT8_HUMAN	3	0	1.4143703E-4	0	0.9769696	0	3	0	29.6%	0	Protein spinster homolog 1 (Fragment) OS=Homo sapiens GN=SPNS1 PE=4 SV=1 	1	1_0_	1_0_
P	O94880-2	0	6	0	1.19266246E-4	0	0.14024973	0	6	0	5.7%	Isoform 2 of PHD finger protein 14 OS=Homo sapiens GN=PHF14 	1	0_1_	0_1_
P	Q8IXI1	2	0	2.7310927E-5	0	0.037528396	0	2	0	1.6%	0	Mitochondrial Rho GTPase 2 OS=Homo sapiens GN=RHOT2 PE=1 SV=2 	1	1_0_	1_0_
P	tr|C9JA29|C9JA29_HUMAN	1	0	4.4651195E-5	0	0.19949937	0	1	0	7.9%	0	Coiled-coil domain-containing protein 132 (Fragment) OS=Homo sapiens GN=CCDC132 PE=2 SV=1 	1	1_0_	1_0_
P	Q8IXI2	1	0	1.3655464E-5	0	0.037528396	0	1	0	1.6%	0	Mitochondrial Rho GTPase 1 OS=Homo sapiens GN=RHOT1 PE=1 SV=2 	1	1_0_	1_0_
P	O95870	2	0	3.0247584E-5	0	0.09395635	0	2	0	3.9%	0	Abhydrolase domain-containing protein 16A OS=Homo sapiens GN=ABHD16A PE=1 SV=3 	1	1_0_	1_0_
P	Q13347	13	13	4.414286E-4	6.8935886E-4	1.0749135	0.86637974	17	17	31.7%	27.1%	Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens GN=EIF3I PE=1 SV=1 	2	1_1_	1_1_
P	O95881	4	0	1.9625758E-4	0	0.20503592	0	4	0	8.1%	0	Thioredoxin domain-containing protein 12 OS=Homo sapiens GN=TXNDC12 PE=1 SV=1 	1	1_0_	1_0_
P	Q13332	6	0	3.4657398E-5	0	0.08642566	0	8	0	3.6%	0	Receptor-type tyrosine-protein phosphatase S OS=Homo sapiens GN=PTPRS PE=1 SV=3 	1	1_0_	1_0_
P	Q13330	0	13	0	2.580488E-4	0	0.2647363	0	14	0	10.2%	Metastasis-associated protein MTA1 OS=Homo sapiens GN=MTA1 PE=1 SV=2 	1	0_1_	0_1_
P	tr|I3L3A8|I3L3A8_HUMAN	0	1	0	1.1168576E-5	0	0.028016329	0	1	0	1.2%	Proline-, glutamic acid- and leucine-rich protein 1 OS=Homo sapiens GN=PELP1 PE=2 SV=1 	1	0_1_	0_1_
P	Q13325	5	0	8.7542285E-5	0	0.4996848	0	5	0	17.6%	0	Interferon-induced protein with tetratricopeptide repeats 5 OS=Homo sapiens GN=IFIT5 PE=1 SV=1 	1	1_0_	1_0_
P	tr|H7C3X5|H7C3X5_HUMAN	5	1	3.2047124E-4	8.341089E-5	0.89670587	0.3001696	6	1	27.8%	11.4%	Syntaxin-5 (Fragment) OS=Homo sapiens GN=STX5 PE=4 SV=1 	2	1_1_	1_1_
P	tr|J3QL56|J3QL56_HUMAN	0	1	0	4.8810813E-5	0	0.14551294	0	1	0	5.9%	Protein SCO1 homolog, mitochondrial OS=Homo sapiens GN=SCO1 PE=2 SV=1 	1	0_1_	0_1_
P	O95831	8	6	1.2390161E-4	1.2899432E-4	0.53461695	0.40604758	9	6	18.6%	14.8%	Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens GN=AIFM1 PE=1 SV=1 	2	1_1_	1_1_
P	Q13310	18	15	2.7518725E-4	3.4789075E-4	0.44877183	0.38995266	21	17	16.1%	14.3%	Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1 	2	1_1_	1_1_
P	O95848	1	0	3.801386E-5	0	0.14551294	0	1	0	5.9%	0	Uridine diphosphate glucose pyrophosphatase OS=Homo sapiens GN=NUDT14 PE=1 SV=2 	1	1_0_	1_0_
P	P42785-2	8	0	1.3058532E-4	0	0.2705741	0	8	0	10.4%	0	Isoform 2 of Lysosomal Pro-X carboxypeptidase OS=Homo sapiens GN=PRCP 	1	1_0_	1_0_
P	Q5JPB2	0	1	0	7.858628E-6	0	0.04231739	0	1	0	1.8%	Zinc finger protein 831 OS=Homo sapiens GN=ZNF831 PE=2 SV=4 	1	0_1_	0_1_
P	tr|E7EWE2|E7EWE2_HUMAN	1	0	2.9353308E-5	0	0.049542427	0	2	0	2.1%	0	Sphingomyelin phosphodiesterase OS=Homo sapiens GN=SMPD1 PE=2 SV=1 	1	1_0_	1_0_
P	tr|I3L2R6|I3L2R6_HUMAN	0	3	0	4.034363E-4	0	0.38995266	0	3	0	14.3%	Thioredoxin domain-containing protein 17 OS=Homo sapiens GN=TXNDC17 PE=2 SV=1 	1	0_1_	0_1_
P	Q8IXB1	9	1	1.06419626E-4	1.6619066E-5	0.24451458	0.04231739	10	1	9.5%	1.8%	DnaJ homolog subfamily C member 10 OS=Homo sapiens GN=DNAJC10 PE=1 SV=2 	2	1_1_	1_1_
P	Q8TBC4-2	1	0	1.879527E-5	0	0.06905484	0	1	0	2.9%	0	Isoform 2 of NEDD8-activating enzyme E1 catalytic subunit OS=Homo sapiens GN=UBA3 	1	1_0_	1_0_
P	Q96IZ0	1	8	4.9641625E-5	3.4885376E-4	0.12201846	0.9815271	2	9	5.0%	29.7%	PRKC apoptosis WT1 regulator protein OS=Homo sapiens GN=PAWR PE=1 SV=1 	2	1_1_	1_1_
P	tr|E7EUA1|E7EUA1_HUMAN	0	1	0	2.995209E-4	0	0.7782794	0	1	0	25.0%	Abl interactor 2 OS=Homo sapiens GN=ABI2 PE=2 SV=1 	1	0_1_	0_1_
P	Q8NBJ7-3	3	0	9.957612E-5	0	0.1614486	0	4	0	6.5%	0	Isoform 3 of Sulfatase-modifying factor 2 OS=Homo sapiens GN=SUMF2 	1	1_0_	1_0_
P	Q8NBJ7-2	3	0	1.5848031E-4	0	0.26765192	0	4	0	10.3%	0	Isoform 2 of Sulfatase-modifying factor 2 OS=Homo sapiens GN=SUMF2 	1	1_0_	1_0_
P	tr|E9PLT3|E9PLT3_HUMAN	0	1	0	1.8827028E-4	0	0.6368165	0	1	0	21.4%	Thioredoxin reductase 1, cytoplasmic (Fragment) OS=Homo sapiens GN=TXNRD1 PE=2 SV=1 	1	0_1_	0_1_
P	O95865	12	4	7.4026984E-4	1.849673E-4	1.837919	0.4859357	25	4	45.3%	17.2%	N(G),N(G)-dimethylarginine dimethylaminohydrolase 2 OS=Homo sapiens GN=DDAH2 PE=1 SV=1 	2	1_1_	1_1_
P	O95864	4	0	7.602772E-5	0	0.30918193	0	4	0	11.7%	0	Fatty acid desaturase 2 OS=Homo sapiens GN=FADS2 PE=1 SV=1 	1	1_0_	1_0_
P	P47756-2	9	13	3.4128618E-4	6.7832676E-4	0.6634127	1.0370419	11	14	22.1%	30.9%	Isoform 2 of F-actin-capping protein subunit beta OS=Homo sapiens GN=CAPZB 	2	1_1_	1_1_
P	P0C0S8	12	10	9.7373954E-4	0.0020275263	2.0549212	0.9275249	15	20	48.5%	28.5%	Histone H2A type 1 OS=Homo sapiens GN=HIST1H2AG PE=1 SV=2 	2	1_1_	1_1_
P	Q8IY26	2	0	5.7214074E-5	0	0.08143401	0	2	0	3.4%	0	Presqualene diphosphate phosphatase OS=Homo sapiens GN=PPAPDC2 PE=1 SV=3 	1	1_0_	1_0_
P	P0C0S5	4	0	3.296514E-4	0	0.6865531	0	5	0	22.7%	0	Histone H2A.Z OS=Homo sapiens GN=H2AFZ PE=1 SV=2 	1	1_0_	1_0_
P	tr|C9JN98|C9JN98_HUMAN	0	4	0	2.3874854E-4	0	0.38356638	0	5	0	14.1%	Glia-derived nexin (Fragment) OS=Homo sapiens GN=SERPINE2 PE=2 SV=1 	1	0_1_	0_1_
P	tr|C9JQM8|C9JQM8_HUMAN	1	0	6.34517E-5	0	0.18850219	0	1	0	7.5%	0	Actin-related protein 2/3 complex subunit 1B (Fragment) OS=Homo sapiens GN=ARPC1B PE=2 SV=1 	1	1_0_	1_0_
P	Q00059-2	0	3	0	1.847512E-4	0	0.4421153	0	3	0	15.9%	Isoform 2 of Transcription factor A, mitochondrial OS=Homo sapiens GN=TFAM 	1	0_1_	0_1_
P	Q8IY17	4	0	3.7067683E-5	0	0.071519256	0	6	0	3.0%	0	Neuropathy target esterase OS=Homo sapiens GN=PNPLA6 PE=1 SV=2 	1	1_0_	1_0_
P	Reverse_sp|Q15652-3|JHD2C_HUMAN	1	1	3.5789126E-6	5.5890246E-6	0.013911366	0.013911366	1	1	0.6%	0.6%	Isoform 3 of Probable JmjC domain-containing histone demethylation protein 2C OS=Homo sapiens GN=JMJD1C 	2	1_1_	1_1_
P	P61026	8	5	4.641492E-4	3.29473E-4	0.6218101	0.23026884	11	5	21.0%	9.0%	Ras-related protein Rab-10 OS=Homo sapiens GN=RAB10 PE=1 SV=1 	2	1_1_	1_1_
P	Q14168-3	3	3	8.89885E-5	9.264619E-5	0.1614486	0.1614486	6	4	6.5%	6.5%	Isoform 3 of MAGUK p55 subfamily member 2 OS=Homo sapiens GN=MPP2 	2	1_1_	1_1_
P	Q14168-2	3	3	9.172909E-5	9.549942E-5	0.16680968	0.16680968	6	4	6.7%	6.7%	Isoform 2 of MAGUK p55 subfamily member 2 OS=Homo sapiens GN=MPP2 	2	1_1_	1_1_
P	P61020	15	3	7.4577885E-4	1.838919E-4	1.0701413	0.1614486	19	3	31.6%	6.5%	Ras-related protein Rab-5B OS=Homo sapiens GN=RAB5B PE=1 SV=1 	2	1_1_	1_1_
P	O95822	2	0	3.4235603E-5	0	0.07646525	0	2	0	3.2%	0	Malonyl-CoA decarboxylase, mitochondrial OS=Homo sapiens GN=MLYCD PE=1 SV=3 	1	1_0_	1_0_
P	O95825	1	0	2.4180734E-5	0	0.14024973	0	1	0	5.7%	0	Quinone oxidoreductase-like protein 1 OS=Homo sapiens GN=CRYZL1 PE=1 SV=2 	1	1_0_	1_0_
P	Q9P2R3-2	1	0	7.2128855E-6	0	0.059253693	0	1	0	2.5%	0	Isoform 2 of Ankyrin repeat and FYVE domain-containing protein 1 OS=Homo sapiens GN=ANKFY1 	1	1_0_	1_0_
P	Q9P2R3-4	1	0	6.968684E-6	0	0.05681753	0	1	0	2.4%	0	Isoform 4 of Ankyrin repeat and FYVE domain-containing protein 1 OS=Homo sapiens GN=ANKFY1 	1	1_0_	1_0_
P	P61006	3	1	1.6307393E-4	6.366628E-5	0.1694994	0.1694994	4	1	6.8%	6.8%	Ras-related protein Rab-8A OS=Homo sapiens GN=RAB8A PE=1 SV=1 	2	1_1_	1_1_
P	Q8TCD5-2	2	0	1.4425772E-4	0	0.42560756	0	2	0	15.4%	0	Isoform 2 of 5'(3')-deoxyribonucleotidase, cytosolic type OS=Homo sapiens GN=NT5C 	1	1_0_	1_0_
P	tr|B1ARP7|B1ARP7_HUMAN	1	0	6.1599094E-5	0	0.47231245	0	1	0	16.8%	0	UPF0587 protein C1orf123 OS=Homo sapiens GN=C1orf123 PE=4 SV=1 	1	1_0_	1_0_
P	P05026-2	23	5	0.0010373616	2.1891893E-4	1.0230191	0.38038433	37	5	30.6%	14.0%	Isoform 2 of Sodium/potassium-transporting ATPase subunit beta-1 OS=Homo sapiens GN=ATP1B1 	2	1_1_	1_1_
P	Q8IXM3	2	0	1.8479727E-4	0	1.2387211	0	3	0	35.0%	0	39S ribosomal protein L41, mitochondrial OS=Homo sapiens GN=MRPL41 PE=1 SV=1 	1	1_0_	1_0_
P	P61011	7	0	1.339536E-4	0	0.47570658	0	8	0	16.9%	0	Signal recognition particle 54 kDa protein OS=Homo sapiens GN=SRP54 PE=1 SV=1 	1	1_0_	1_0_
P	P61018	5	0	1.9810039E-4	0	0.79473364	0	5	0	25.4%	0	Ras-related protein Rab-4B OS=Homo sapiens GN=RAB4B PE=1 SV=1 	1	1_0_	1_0_
P	P61019	20	6	9.553671E-4	3.729883E-4	1.2594359	0.5958791	24	6	35.4%	20.3%	Ras-related protein Rab-2A OS=Homo sapiens GN=RAB2A PE=1 SV=1 	2	1_1_	1_1_
P	P38646	58	21	9.942946E-4	5.434606E-4	2.0549212	0.8238957	80	28	48.5%	26.1%	Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2 	2	1_1_	1_1_
P	Q9UBV2-2	0	1	0	4.3783784E-5	0	0.1561122	0	1	0	6.3%	Isoform 2 of Protein sel-1 homolog 1 OS=Homo sapiens GN=SEL1L 	1	0_1_	0_1_
P	tr|H0YJ40|H0YJ40_HUMAN	3	0	2.6372113E-4	0	0.39958727	0	3	0	14.6%	0	SRA stem-loop-interacting RNA-binding protein, mitochondrial (Fragment) OS=Homo sapiens GN=SLIRP PE=4 SV=1 	1	1_0_	1_0_
P	Q8IXJ6	3	0	6.508285E-5	0	0.23879659	0	3	0	9.3%	0	NAD-dependent protein deacetylase sirtuin-2 OS=Homo sapiens GN=SIRT2 PE=1 SV=2 	1	1_0_	1_0_
P	tr|F8W1W1|F8W1W1_HUMAN	3	0	2.1825198E-4	0	0.24451458	0	3	0	9.5%	0	WASH complex subunit 7 (Fragment) OS=Homo sapiens GN=KIAA1033 PE=2 SV=1 	1	1_0_	1_0_
P	Q13362	6	2	1.1273575E-4	7.545183E-5	0.29717934	0.09144032	7	3	11.3%	3.8%	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform OS=Homo sapiens GN=PPP2R5C PE=1 SV=3 	2	1_1_	1_1_
P	Q13363	5	6	1.15078314E-4	3.29473E-4	0.22743917	0.11686325	6	11	8.9%	4.8%	C-terminal-binding protein 1 OS=Homo sapiens GN=CTBP1 PE=1 SV=2 	2	1_1_	1_1_
P	tr|M0QX72|M0QX72_HUMAN	2	0	7.7422716E-5	0	0.18304157	0	2	0	7.3%	0	Procollagen galactosyltransferase 1 (Fragment) OS=Homo sapiens GN=COLGALT1 PE=4 SV=1 	1	1_0_	1_0_
P	Q13367	11	0	9.3594186E-5	0	0.14551294	0	12	0	5.9%	0	AP-3 complex subunit beta-2 OS=Homo sapiens GN=AP3B2 PE=1 SV=2 	1	1_0_	1_0_
P	tr|C9JIZ6|C9JIZ6_HUMAN	0	1	0	2.505498E-5	0	0.06905484	0	1	0	2.9%	Prosaposin OS=Homo sapiens GN=PSAP PE=2 SV=1 	1	0_1_	0_1_
P	Q9BQT9-2	1	0	8.718053E-6	0	0.04231739	0	1	0	1.8%	0	Isoform 2 of Calsyntenin-3 OS=Homo sapiens GN=CLSTN3 	1	1_0_	1_0_
P	tr|C9JFG9|C9JFG9_HUMAN	1	0	6.34517E-5	0	0.18850219	0	1	0	7.5%	0	Actin-related protein 2/3 complex subunit 1B (Fragment) OS=Homo sapiens GN=ARPC1B PE=2 SV=1 	1	1_0_	1_0_
P	tr|J3QTA6|J3QTA6_HUMAN	1	0	6.593028E-5	0	0.24165225	0	2	0	9.4%	0	Coiled-coil-helix-coiled-coil-helix domain-containing protein 6, mitochondrial OS=Homo sapiens GN=CHCHD6 PE=2 SV=1 	1	1_0_	1_0_
P	Q8IY95	4	0	1.2456201E-4	0	0.13501084	0	4	0	5.5%	0	Transmembrane protein 192 OS=Homo sapiens GN=TMEM192 PE=1 SV=1 	1	1_0_	1_0_
P	P38606	91	47	0.0016139562	0.0012815805	3.6881337	1.3604782	118	60	67.1%	37.3%	V-type proton ATPase catalytic subunit A OS=Homo sapiens GN=ATP6V1A PE=1 SV=2 	2	1_1_	1_1_
P	Q96J01	0	3	0	1.12640344E-4	0	0.06659615	0	3	0	2.8%	THO complex subunit 3 OS=Homo sapiens GN=THOC3 PE=1 SV=1 	1	0_1_	0_1_
P	tr|Q5T4F6|Q5T4F6_HUMAN	2	0	3.2210213E-5	0	0.24165225	0	2	0	9.4%	0	Cartilage acidic protein 1 (Fragment) OS=Homo sapiens GN=CRTAC1 PE=2 SV=1 	1	1_0_	1_0_
P	Q6Y7W6-3	3	2	2.5572957E-5	1.996806E-5	0.03992021	0.03992021	4	2	1.7%	1.7%	Isoform 2 of PERQ amino acid-rich with GYF domain-containing protein 2 OS=Homo sapiens GN=GIGYF2 	2	1_1_	1_1_
P	Q6Y7W6-4	3	2	2.624907E-5	2.0495987E-5	0.03992021	0.03992021	4	2	1.7%	1.7%	Isoform 3 of PERQ amino acid-rich with GYF domain-containing protein 2 OS=Homo sapiens GN=GIGYF2 	2	1_1_	1_1_
P	Q6Y7W6-5	3	2	2.6106964E-5	2.0385025E-5	0.03992021	0.03992021	4	2	1.7%	1.7%	Isoform 4 of PERQ amino acid-rich with GYF domain-containing protein 2 OS=Homo sapiens GN=GIGYF2 	2	1_1_	1_1_
P	tr|F5H2F4|F5H2F4_HUMAN	8	0	8.273604E-5	0	0.19674051	0	10	0	7.8%	0	C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=2 SV=1 	1	1_0_	1_0_
P	tr|B5MBZ0|B5MBZ0_HUMAN	4	0	3.4028533E-5	0	0.10917485	0	4	0	4.5%	0	Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens GN=EML4 PE=2 SV=3 	1	1_0_	1_0_
P	tr|J3QSV6|J3QSV6_HUMAN	0	5	0	1.5324325E-4	0	0.19398808	0	5	0	7.7%	Ribosomal L1 domain-containing protein 1 (Fragment) OS=Homo sapiens GN=RSL1D1 PE=2 SV=1 	1	0_1_	0_1_
P	O43303-2	1	0	8.515717E-6	0	0.04231739	0	1	0	1.8%	0	Isoform 2 of Centriolar coiled-coil protein of 110 kDa OS=Homo sapiens GN=CCP110 	1	1_0_	1_0_
P	tr|H0Y8M2|H0Y8M2_HUMAN	0	1	0	5.2090592E-5	0	0.25602996	0	1	0	9.9%	Rap1 GTPase-GDP dissociation stimulator 1 (Fragment) OS=Homo sapiens GN=RAP1GDS1 PE=4 SV=1 	1	0_1_	0_1_
P	Q15582	5	4	6.177947E-5	7.718254E-5	0.27938128	0.19949937	5	4	10.7%	7.9%	Transforming growth factor-beta-induced protein ig-h3 OS=Homo sapiens GN=TGFBI PE=1 SV=1 	2	1_1_	1_1_
P	Q06210	21	0	2.6560752E-4	0	0.566751	0	22	0	19.5%	0	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 OS=Homo sapiens GN=GFPT1 PE=1 SV=3 	1	1_0_	1_0_
P	Q8IY67	0	3	0	6.524217E-5	0	0.14551294	0	3	0	5.9%	Ribonucleoprotein PTB-binding 1 OS=Homo sapiens GN=RAVER1 PE=1 SV=1 	1	0_1_	0_1_
P	Q9UMY4-3	15	5	9.0800185E-4	5.004653E-4	1.6546056	0.5958791	17	6	42.4%	20.3%	Isoform 3 of Sorting nexin-12 OS=Homo sapiens GN=SNX12 	2	1_1_	1_1_
P	Q9UMY4-2	15	5	8.8558206E-4	4.8810814E-4	1.5941794	0.5776112	17	6	41.4%	19.8%	Isoform 2 of Sorting nexin-12 OS=Homo sapiens GN=SNX12 	2	1_1_	1_1_
P	Q15555	32	25	0.0011097256	0.0012493777	0.89670587	1.0511622	43	31	27.8%	31.2%	Microtubule-associated protein RP/EB family member 2 OS=Homo sapiens GN=MAPRE2 PE=1 SV=1 	2	1_1_	1_1_
P	tr|F5H845|F5H845_HUMAN	2	0	3.0631854E-5	0	0.16680968	0	2	0	6.7%	0	Amyloid-like protein 2 OS=Homo sapiens GN=APLP2 PE=2 SV=1 	1	1_0_	1_0_
P	P35612-2	22	33	4.529021E-4	0.0011552183	1.0749135	1.9648314	30	49	31.7%	47.2%	Isoform 2 of Beta-adducin OS=Homo sapiens GN=ADD2 	2	1_1_	1_1_
P	P35612-3	22	33	3.9373606E-4	0.0010043035	0.8836491	1.5763211	30	49	27.5%	41.1%	Isoform 3 of Beta-adducin OS=Homo sapiens GN=ADD2 	2	1_1_	1_1_
P	Q15554	0	3	0	7.907352E-5	0	0.23594749	0	3	0	9.2%	Telomeric repeat-binding factor 2 OS=Homo sapiens GN=TERF2 PE=1 SV=2 	1	0_1_	0_1_
P	P46776	3	1	1.7106235E-4	8.9046756E-5	0.22461617	0.22461617	3	1	8.8%	8.8%	60S ribosomal protein L27a OS=Homo sapiens GN=RPL27A PE=1 SV=2 	2	1_1_	1_1_
P	P46777	24	18	7.387743E-4	8.430958E-4	1.3120649	1.2908678	26	19	36.4%	36.0%	60S ribosomal protein L5 OS=Homo sapiens GN=RPL5 PE=1 SV=3 	2	1_1_	1_1_
P	P35612-4	22	33	4.312986E-4	0.0011001143	1.004472	1.8183827	30	49	30.2%	45.0%	Isoform 4 of Beta-adducin OS=Homo sapiens GN=ADD2 	2	1_1_	1_1_
P	P46778	10	12	7.384191E-4	0.0011531555	0.8836491	1.1777098	14	14	27.5%	33.8%	60S ribosomal protein L21 OS=Homo sapiens GN=RPL21 PE=1 SV=2 	2	1_1_	1_1_
P	tr|M0QYE0|M0QYE0_HUMAN	1	0	6.54192E-5	0	0.42889392	0	1	0	15.5%	0	Endophilin-A2 (Fragment) OS=Homo sapiens GN=SH3GL1 PE=2 SV=1 	1	1_0_	1_0_
P	P35612-8	22	33	4.4106672E-4	0.0011250298	1.032357	1.8840315	30	49	30.8%	46.0%	Isoform 8 of Beta-adducin OS=Homo sapiens GN=ADD2 	2	1_1_	1_1_
P	P46782	14	2	9.1009645E-4	1.292051E-4	0.92309177	0.25314116	22	2	28.4%	9.8%	40S ribosomal protein S5 OS=Homo sapiens GN=RPS5 PE=1 SV=4 	2	1_1_	1_1_
P	Q15257-2	8	0	3.1352605E-4	0	1.3334582	0	12	0	36.8%	0	Isoform 1 of Serine/threonine-protein phosphatase 2A activator OS=Homo sapiens GN=PPP2R4 	1	1_0_	1_0_
P	P46781	9	1	3.9150353E-4	6.7932575E-5	0.7906058	0.23879659	9	1	25.3%	9.3%	40S ribosomal protein S9 OS=Homo sapiens GN=RPS9 PE=1 SV=3 	2	1_1_	1_1_
P	Q15542	0	1	0	1.6473648E-5	0	0.032761455	0	1	0	1.4%	Transcription initiation factor TFIID subunit 5 OS=Homo sapiens GN=TAF5 PE=1 SV=3 	1	0_1_	0_1_
P	P46783	13	0	7.671888E-4	0	1.18273	0	15	0	33.9%	0	40S ribosomal protein S10 OS=Homo sapiens GN=RPS10 PE=1 SV=1 	1	1_0_	1_0_
P	Q68D91	7	0	3.0247585E-4	0	0.8407719	0	10	0	26.5%	0	Metallo-beta-lactamase domain-containing protein 2 OS=Homo sapiens GN=MBLAC2 PE=1 SV=3 	1	1_0_	1_0_
P	Q8IXS6	4	0	1.1133345E-4	0	0.11429453	0	5	0	4.7%	0	Paralemmin-2 OS=Homo sapiens GN=PALM2 PE=2 SV=3 	1	1_0_	1_0_
P	Q93045-2	11	6	7.671888E-4	4.9332855E-4	1.118361	0.44543982	17	7	32.6%	16.0%	Isoform 2 of Stathmin-2 OS=Homo sapiens GN=STMN2 	2	1_1_	1_1_
P	P24752	40	40	0.0011858187	0.0019135667	1.3713737	1.3173947	60	62	37.5%	36.5%	Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens GN=ACAT1 PE=1 SV=1 	2	1_1_	1_1_
P	tr|G3V234|G3V234_HUMAN	2	0	9.02575E-5	0	0.15877736	0	2	0	6.4%	0	Retinol dehydrogenase 11 (Fragment) OS=Homo sapiens GN=RDH11 PE=2 SV=1 	1	1_0_	1_0_
P	O60313-2	40	7	4.655458E-4	1.1896718E-4	0.81970084	0.2647363	55	9	26.0%	10.2%	Isoform 2 of Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens GN=OPA1 	2	1_1_	1_1_
P	Q8IYB5	1	0	1.8070827E-5	0	0.061695576	0	1	0	2.6%	0	Stromal membrane-associated protein 1 OS=Homo sapiens GN=SMAP1 PE=1 SV=2 	1	1_0_	1_0_
P	Q8IYB3	1	4	9.335261E-6	8.7470704E-5	0.032761455	0.032761455	1	6	1.4%	1.4%	Serine/arginine repetitive matrix protein 1 OS=Homo sapiens GN=SRRM1 PE=1 SV=2 	2	1_1_	1_1_
P	tr|E9PKW7|E9PKW7_HUMAN	0	1	0	1.7809351E-4	0	0.7498466	0	1	0	24.3%	N-acetylated-alpha-linked acidic dipeptidase-like protein (Fragment) OS=Homo sapiens GN=NAALADL1 PE=2 SV=1 	1	0_1_	0_1_
P	tr|B7Z9L0|B7Z9L0_HUMAN	45	31	0.0011531656	0.0010914219	2.0338912	1.7478943	66	40	48.2%	43.9%	T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=2 SV=1 	2	1_1_	1_1_
P	tr|B4E0X2|B4E0X2_HUMAN	1	0	1.4883732E-5	0	0.09900582	0	1	0	4.1%	0	RAF proto-oncogene serine/threonine-protein kinase OS=Homo sapiens GN=RAF1 PE=2 SV=1 	1	1_0_	1_0_
P	tr|B3KNX7|B3KNX7_HUMAN	14	0	2.58669E-4	0	0.39315677	0	16	0	14.4%	0	Serine/threonine-protein kinase PAK 1 OS=Homo sapiens GN=PAK1 PE=2 SV=1 	1	1_0_	1_0_
P	P46736	2	0	5.3411877E-5	0	0.083926916	0	2	0	3.5%	0	Lys-63-specific deubiquitinase BRCC36 OS=Homo sapiens GN=BRCC3 PE=1 SV=2 	1	1_0_	1_0_
P	tr|H0YK72|H0YK72_HUMAN	3	0	1.5437334E-4	0	0.4190575	0	3	0	15.2%	0	SEC11-like 1 (S. cerevisiae), isoform CRA_a OS=Homo sapiens GN=SEC11A PE=2 SV=1 	1	1_0_	1_0_
P	Q96ID5	1	0	1.8070827E-5	0	0.10407865	0	1	0	4.3%	0	Immunoglobulin superfamily member 21 OS=Homo sapiens GN=IGSF21 PE=2 SV=1 	1	1_0_	1_0_
P	Q4J6C6	9	0	1.3929699E-4	0	0.39958727	0	12	0	14.6%	0	Prolyl endopeptidase-like OS=Homo sapiens GN=PREPL PE=1 SV=1 	1	1_0_	1_0_
P	tr|J3KT29|J3KT29_HUMAN	8	2	6.225548E-4	2.1604785E-4	2.2809527	0.4321879	9	2	51.6%	15.6%	60S ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=2 SV=1 	2	1_1_	1_1_
P	tr|Q5TCU6|Q5TCU6_HUMAN	0	9	0	5.9682225E-5	0	0.10917485	0	11	0	4.5%	Talin-1 OS=Homo sapiens GN=TLN1 PE=2 SV=1 	1	0_1_	0_1_
